trees,site,site.code,height,cr.fru,gr.fru,neigh,Pros.neigh,veg.cov.x,veg.cov.sd,bare.cov.x,bare.cov.sd,litt.cov.x,litt.cov.sd,veg.cov.x1,veg.cov.sd1,veg.cov.x2,veg.cov.sd2,veg.cov.x3,veg.cov.sd3,H.shannon,x,y,litt.site,bare.site,low.site,med.site,high.site,x.tran,y.tran,modules
T1,grazed,domenico,450,150,130,5,3,1.16,0.40,0.04,0.04,0.80,0.04,0.32,0.16,0.12,0.24,0.44,0.48,0.40,602276,6232445,0.70,0.30,0.12,0.40,0.18,602412,6232314,D
T2,grazed,domenico,400,200,0,6,4,1.16,0.20,0.07,0.12,0.92,0.12,0.20,0.20,0.24,0.24,0.84,0.36,0.42,602615,6232173,0.70,0.30,0.12,0.40,0.18,602412,6232314,C
T3,grazed,domenico,350,80,63,6,2,0.84,0.36,0.05,0.08,0.95,0.08,0.40,0.24,0.12,0.12,0.40,0.24,0.36,602883,6231954,0.70,0.30,0.12,0.40,0.18,602412,6232314,F
T4,grazed,domenico,400,60,12,6,1,1.48,0.24,0.00,0.00,1.00,0.00,0.36,0.40,0.16,0.08,1.00,0.28,0.37,603025,6231847,0.70,0.30,0.12,0.40,0.18,602412,6232314,F
T5,grazed,domenico,400,100,4,11,2,0.96,0.08,0.07,0.12,0.92,0.12,0.24,0.28,0.24,0.08,0.48,0.36,0.45,603438,6231517,0.70,0.30,0.12,0.40,0.18,602412,6232314,C
T6,grazed,domenico,450,60,50,10,2,1.00,0.24,0.05,0.08,0.95,0.08,0.36,0.04,0.20,0.08,0.44,0.16,0.45,603885,6231159,0.70,0.30,0.12,0.40,0.18,602412,6232314,C
T7,grazed,domenico,600,40,6,6,2,1.16,0.24,0.00,0.00,1.00,0.00,0.36,0.20,0.40,0.20,0.36,0.28,0.48,604397,6231132,0.70,0.30,0.12,0.40,0.18,602412,6232314,A
T8,grazed,domenico,500,50,5,7,2,1.20,0.36,0.00,0.00,1.00,0.00,0.08,0.12,0.08,0.20,0.68,0.48,0.30,604800,6231074,0.70,0.30,0.12,0.40,0.18,602412,6232314,F
T9,grazed,domenico,450,190,1,6,4,0.76,0.52,0.45,0.36,0.55,0.32,0.36,0.28,0.16,0.20,0.24,0.20,0.45,605461,6231070,0.40,0.60,0.22,0.20,0.11,605032,6231077,E
T10,grazed,domenico,350,150,0,11,2,1.00,0.20,0.02,0.04,0.97,0.04,0.44,0.24,0.40,0.12,0.16,0.20,0.43,605992,6231051,0.40,0.60,0.22,0.20,0.11,605032,6231077,D
T11,grazed,domenico,550,40,0,6,3,1.28,0.24,0.07,0.12,0.92,0.12,0.60,0.20,0.32,0.24,0.32,0.28,0.46,606560,6231026,0.40,0.60,0.22,0.20,0.11,605032,6231077,C
T12,grazed,domenico,450,80,10,6,3,1.24,0.36,0.02,0.04,0.97,0.04,0.44,0.12,0.56,0.32,0.28,0.32,0.46,606922,6230989,0.40,0.60,0.22,0.20,0.11,605032,6231077,D
T13,grazed,domenico,400,15,50,5,3,0.36,0.32,0.65,0.32,0.35,0.32,0.32,0.36,0.02,0.04,0.00,0.00,0.11,607271,6230964,0.40,0.60,0.22,0.20,0.11,605032,6231077,D
T14,grazed,domenico,400,60,0,8,1,0.96,0.44,0.02,0.04,0.97,0.04,0.32,0.12,0.52,0.20,0.28,0.20,0.46,607634,6230970,0.40,0.60,0.22,0.20,0.11,605032,6231077,C
T15,grazed,domenico,300,90,5,12,4,0.96,0.32,0.42,0.20,0.57,0.24,0.24,0.28,0.24,0.08,0.48,0.36,0.40,608078,6230931,0.40,0.60,0.22,0.20,0.11,605032,6231077,F
T16,grazed,domenico,400,100,5,8,3,1.00,0.28,0.22,0.40,0.77,0.40,0.28,0.32,0.12,0.08,0.52,0.28,0.25,608409,6230924,0.40,0.60,0.22,0.20,0.11,605032,6231077,F
T17,grazed,domenico,500,15,2,8,1,0.68,0.36,0.07,0.12,0.92,0.12,0.36,0.28,0.00,0.00,0.36,0.20,0.30,608089,6228586,0.30,0.70,0.20,0.10,0.10,608080,6229175,C
T18,grazed,domenico,500,5,2,9,1,1.08,0.64,0.02,0.04,0.97,0.04,0.68,0.40,0.08,0.12,0.28,0.20,0.38,608090,6228892,0.30,0.70,0.20,0.10,0.10,608080,6229175,C
T19,grazed,domenico,450,80,10,8,0,0.80,0.32,0.17,0.20,0.82,0.36,0.00,0.00,0.20,0.24,0.64,0.48,0.24,608060,6229231,0.30,0.70,0.20,0.10,0.10,608080,6229175,NA
T20,grazed,domenico,400,20,5,8,0,0.68,0.28,0.02,0.04,0.97,0.04,0.36,0.20,0.04,0.04,0.24,0.16,0.38,608064,6229612,0.30,0.70,0.20,0.10,0.10,608080,6229175,C
T21,grazed,domenico,450,20,0,9,0,0.84,0.20,0.00,0.00,1.00,0.00,0.16,0.12,0.20,0.16,0.40,0.08,0.43,608085,6230049,0.30,0.70,0.20,0.10,0.10,608080,6229175,A
T22,grazed,domenico,400,20,25,5,3,0.88,0.20,0.00,0.00,1.00,0.00,0.36,0.12,0.08,0.08,0.44,0.12,0.42,608090,6230410,0.40,0.60,0.12,0.10,0.90,608116,6230727,C
T23,grazed,domenico,550,40,80,6,2,0.88,0.80,0.22,0.40,0.77,0.40,0.32,0.16,0.12,0.24,0.44,0.48,0.43,608084,6230833,0.40,0.60,0.12,0.10,0.90,608116,6230727,C
T24,grazed,domenico,400,0,0,7,3,1.00,0.32,0.10,0.12,0.65,0.24,0.36,0.28,0.00,0.00,0.36,0.20,0.40,608092,6230996,0.40,0.60,0.12,0.10,0.90,608116,6230727,F
T25,grazed,domenico,350,4,0,10,2,1.00,0.24,0.22,0.40,0.77,0.40,0.28,0.16,0.36,0.36,0.64,0.16,0.40,605892,6227642,0.20,0.80,0.15,0.10,0.11,607867,6228247,F
T26,grazed,domenico,400,15,0,7,1,1.08,0.36,0.42,0.20,0.57,0.24,0.44,0.08,0.44,0.32,0.28,0.20,0.44,606146,6227730,0.20,0.80,0.15,0.10,0.11,607867,6228247,E
T27,grazed,domenico,500,20,0,8,3,0.96,0.28,0.10,0.12,0.65,0.12,0.40,0.20,0.28,0.24,0.28,0.20,0.47,606333,6227879,0.20,0.80,0.15,0.10,0.11,607867,6228247,NA
T28,grazed,domenico,400,5,15,8,2,0.88,0.60,0.42,0.20,0.57,0.24,0.08,0.12,0.08,0.20,0.68,0.48,0.30,606628,6228125,0.20,0.80,0.15,0.10,0.11,607867,6228247,D
T29,grazed,domenico,300,40,12,7,1,0.76,0.16,0.07,0.12,0.92,0.12,0.36,0.12,0.08,0.08,0.20,0.24,0.45,606937,6228257,0.30,0.70,0.12,0.50,0.12,606838,6228229,F
T30,grazed,domenico,550,25,0,8,1,1.04,0.72,0.15,0.28,0.85,0.24,0.44,0.08,0.44,0.32,0.28,0.20,0.47,607300,6228253,0.30,0.70,0.12,0.50,0.12,606838,6228229,C
T31,grazed,domenico,500,0,2,9,1,0.60,0.44,0.12,0.16,0.80,0.20,0.28,0.24,0.04,0.08,0.24,0.24,0.40,607747,6228257,0.30,0.70,0.12,0.50,0.12,606838,6228229,C
T32,grazed,domenico,450,370,110,6,0,0.80,0.40,0.05,0.08,0.95,0.08,0.32,0.12,0.52,0.20,0.28,0.20,0.43,608069,6228277,0.30,0.70,0.12,0.50,0.12,606838,6228229,D
T33,grazed,domenico,400,15,2,10,2,0.84,0.52,0.15,0.28,0.85,0.28,0.00,0.00,0.20,0.24,0.64,0.48,0.24,605750,6228172,0.00,1.00,0.19,0.70,0.13,605631,6229959,C
T34,grazed,domenico,400,5,2,7,1,1.28,0.12,0.07,0.12,0.92,0.12,0.48,0.12,0.36,0.24,0.44,0.20,0.47,605753,6228459,0.00,1.00,0.19,0.70,0.13,605631,6229959,A
T35,grazed,domenico,350,180,10,7,1,1.16,0.04,0.07,0.12,0.92,0.12,0.28,0.16,0.36,0.36,0.64,0.16,0.46,605697,6228958,0.00,1.00,0.19,0.70,0.13,605631,6229959,A
T36,grazed,domenico,350,20,5,11,5,1.24,0.28,0.12,0.16,0.87,0.44,0.68,0.24,0.24,0.28,0.28,0.24,0.43,605676,6229373,0.00,1.00,0.19,0.70,0.13,605631,6229959,NA
T37,grazed,domenico,400,20,0,7,0,1.08,0.24,0.05,0.08,0.95,0.08,0.56,0.40,0.36,0.32,0.20,0.28,0.44,605670,6229702,0.00,1.00,0.19,0.70,0.13,605631,6229959,C
T38,grazed,domenico,500,20,25,9,4,0.96,0.52,0.05,0.08,0.95,0.08,0.28,0.32,0.12,0.08,0.52,0.28,0.41,605645,6230036,0.00,1.00,0.19,0.70,0.13,605631,6229959,E
T39,grazed,domenico,450,40,80,12,2,0.88,0.32,0.22,0.40,0.77,0.40,0.40,0.24,0.12,0.12,0.40,0.24,0.42,605607,6230347,0.00,1.00,0.19,0.70,0.13,605631,6229959,C
T40,grazed,domenico,450,0,0,11,0,1.36,0.36,0.07,0.12,0.92,0.12,0.52,0.32,0.28,0.16,0.56,0.08,0.46,605592,6230836,0.00,1.00,0.19,0.70,0.13,605631,6229959,E
T41,grazed,domenico,450,15,0,8,0,1.60,0.48,0.07,0.12,0.92,0.12,1.04,0.28,0.12,0.08,0.44,0.24,0.36,605467,6230680,0.50,0.50,0.14,0.50,0.13,604934,6230231,C
T42,grazed,domenico,500,90,6,9,0,1.08,0.24,0.30,0.28,0.70,0.36,0.68,0.40,0.16,0.24,0.28,0.04,0.40,605250,6230477,0.50,0.50,0.14,0.50,0.13,604934,6230231,A
T43,grazed,domenico,450,100,5,9,4,1.16,0.36,0.05,0.08,0.95,0.08,0.36,0.08,0.28,0.40,0.48,0.20,0.47,604994,6230314,0.50,0.50,0.14,0.50,0.13,604934,6230231,F
T44,grazed,domenico,400,50,100,9,1,1.36,0.48,0.05,0.08,0.95,0.08,0.60,0.16,0.12,0.20,0.64,0.20,0.41,604710,6230095,0.50,0.50,0.14,0.50,0.13,604934,6230231,F
