trees,site,site.code,Gra.gri.v,Ako.dol.v,Cal.mus.v,Mic.aus.v,Dol.pat.v,Lyc.gri.v,Cone.chi.v,Cha.vell.v,Tup.ruf.v,Cte.men.v,Bos.tau.v,Equ.cab.v,Gra.gri.c,Ako.dol.c,Cal.mus.c,Mic.aus.c,Dol.pat.c,Lyc.gri.c,Cone.chi.c,Cha.vell.c,Tup.ruf.c,Cte.men.c,Bos.tau.c,Equ.cab.c,fruit_avail_sp1,fruit_avail_sp2,fruit_avail_sp3,fruit_avail_sp4,Gra.gri,Ako.dol,Cal.mus,Mic.aus,Dol.pat,Lyc.gri,Cone.chi,Cha.vell,Tup.ruf,Cte.men,Bos.tau,Equ.cab
T1,grazed,domenico,0,0,0,1,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
T2,grazed,domenico,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0
T3,grazed,domenico,0,0,0,0,0,1,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,14,6,14,20,0,0,0,0,0,0,0,0,0,0,0,0,126,48
T4,grazed,domenico,1,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,12,0,20,17,5,5,3,0,0,0,0,0,0,0,0,0,12,0
T5,grazed,domenico,2,0,0,7,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,20,19,0,0,2,0,0,133,0,0,0,0,0,0,0,0
T6,grazed,domenico,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0
T7,grazed,domenico,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
T8,grazed,domenico,4,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,11,0,20,15,4,4,0,0,0,0,0,5,0,0,0,0,33,0
T9,grazed,domenico,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
T10,grazed,domenico,0,1,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280
T11,grazed,domenico,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,20,12,8,8,0,0,0,40,0,0,0,4,0,0,0,0
T12,grazed,domenico,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,15,20,14,14,0,0,0,0,0,0,1,5,0,0,0,0
T13,grazed,domenico,0,0,0,2,2,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,0,0,0,20,14,11,11,0,0,0,12,6,0,0,0,0,0,0,0
T14,grazed,domenico,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0
T15,grazed,domenico,0,0,0,5,0,1,0,0,0,0,14,0,0,0,0,5,0,0,0,0,0,0,15,0,20,15,0,0,0,0,0,25,0,0,0,0,0,0,210,0
T16,grazed,domenico,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
T17,grazed,domenico,0,0,0,21,0,0,0,0,0,0,0,8,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0
T18,grazed,domenico,1,0,0,11,0,1,0,0,0,0,0,0,2,0,0,18,0,0,0,0,0,0,0,0,20,18,0,0,2,0,0,198,0,0,0,0,0,0,0,0
T19,grazed,domenico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
T20,grazed,domenico,8,0,0,55,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1100,0,0,0,0,0,0,0,0
T21,grazed,domenico,21,0,0,1,0,0,0,0,0,0,0,0,18,0,0,2,0,0,0,0,0,0,0,0,20,2,0,0,378,0,0,2,0,0,0,0,0,0,0,0
T22,grazed,domenico,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0
T23,grazed,domenico,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,20,12,12,12,0,0,0,168,0,0,0,0,0,0,0,0
T24,grazed,domenico,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
T25,grazed,domenico,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0
T26,grazed,domenico,1,0,0,3,0,8,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,20,18,0,0,2,0,0,0,0,144,0,0,0,0,0,0
T27,grazed,domenico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
T28,grazed,domenico,1,0,0,5,2,0,0,0,0,0,1,0,1,0,0,3,2,0,0,0,0,0,0,0,20,17,15,14,1,0,0,15,4,0,0,0,0,0,0,0
T29,grazed,domenico,4,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,16,0,20,16,0,0,16,0,0,0,0,0,0,0,0,0,256,0
T30,grazed,domenico,14,0,0,21,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,20,19,0,0,14,0,0,399,0,0,0,0,0,0,0,0
T31,grazed,domenico,2,0,0,10,0,0,0,2,0,0,0,0,1,0,0,12,0,0,0,5,0,0,0,0,20,19,7,7,2,0,0,120,0,0,0,10,0,0,0,0
T32,grazed,domenico,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,19,20,19,0,0,0,0,0,0,0,2,0,0,0,0,0,152
T33,grazed,domenico,0,0,0,38,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,20,1,0,0,0,0,0,722,0,0,0,1,0,0,0,0
T34,grazed,domenico,15,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,2,0,0,0,0,20,2,0,0,270,0,0,0,0,0,0,4,0,0,0,0
T35,grazed,domenico,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0
T36,grazed,domenico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
